type,sample,dg,time,est,lower,upper,sukup,x,age_group,agegr,0,1,total,pros,pr_years,agegr_years,year
ci,all,f00_f03,55,0.212,0.203,0.222,1,55,,,,,,,,,
ci,all,f00_f03,56,0.249,0.238,0.259,1,56,,,,,,,,,
ci,all,f00_f03,57,0.287,0.276,0.298,1,57,,,,,,,,,
ci,all,f00_f03,58,0.328,0.317,0.34,1,58,,,,,,,,,
ci,all,f00_f03,59,0.382,0.37,0.395,1,59,,,,,,,,,
ci,all,f00_f03,60,0.439,0.425,0.453,1,60,,,,,,,,,
ci,all,f00_f03,61,0.507,0.493,0.522,1,61,,,,,,,,,
ci,all,f00_f03,62,0.577,0.562,0.593,1,62,,,,,,,,,
ci,all,f00_f03,63,0.665,0.648,0.682,1,63,,,,,,,,,
ci,all,f00_f03,64,0.762,0.744,0.781,1,64,,,,,,,,,
ci,all,f00_f03,65,0.877,0.858,0.897,1,65,,,,,,,,,
ci,all,f00_f03,66,1.017,0.996,1.039,1,66,,,,,,,,,
ci,all,f00_f03,67,1.183,1.16,1.206,1,67,,,,,,,,,
ci,all,f00_f03,68,1.379,1.355,1.405,1,68,,,,,,,,,
ci,all,f00_f03,69,1.627,1.6,1.655,1,69,,,,,,,,,
ci,all,f00_f03,70,1.913,1.883,1.943,1,70,,,,,,,,,
ci,all,f00_f03,71,2.264,2.231,2.297,1,71,,,,,,,,,
ci,all,f00_f03,72,2.672,2.636,2.708,1,72,,,,,,,,,
ci,all,f00_f03,73,3.151,3.112,3.191,1,73,,,,,,,,,
ci,all,f00_f03,74,3.704,3.661,3.748,1,74,,,,,,,,,
ci,all,f00_f03,75,4.336,4.289,4.384,1,75,,,,,,,,,
ci,all,f00_f03,76,5.047,4.995,5.099,1,76,,,,,,,,,
ci,all,f00_f03,77,5.855,5.799,5.912,1,77,,,,,,,,,
ci,all,f00_f03,78,6.753,6.692,6.815,1,78,,,,,,,,,
ci,all,f00_f03,79,7.707,7.642,7.773,1,79,,,,,,,,,
ci,all,f00_f03,80,8.752,8.681,8.823,1,80,,,,,,,,,
ci,all,f00_f03,81,9.819,9.744,9.895,1,81,,,,,,,,,
ci,all,f00_f03,82,10.921,10.842,11.002,1,82,,,,,,,,,
ci,all,f00_f03,83,12.052,11.967,12.137,1,83,,,,,,,,,
ci,all,f00_f03,84,13.195,13.106,13.285,1,84,,,,,,,,,
ci,all,f00_f03,85,14.27,14.177,14.364,1,85,,,,,,,,,
ci,all,f00_f03,86,15.299,15.202,15.396,1,86,,,,,,,,,
ci,all,f00_f03,87,16.233,16.133,16.334,1,87,,,,,,,,,
ci,all,f00_f03,88,17.131,17.027,17.235,1,88,,,,,,,,,
ci,all,f00_f03,89,17.935,17.828,18.042,1,89,,,,,,,,,
ci,all,f00_f03,90,18.56,18.451,18.67,1,90,,,,,,,,,
ci,all,f00_f03,91,19.084,18.973,19.196,1,91,,,,,,,,,
ci,all,f00_f03,92,19.523,19.41,19.636,1,92,,,,,,,,,
ci,all,f00_f03,93,19.89,19.775,20.005,1,93,,,,,,,,,
ci,all,f00_f03,94,20.164,20.048,20.28,1,94,,,,,,,,,
ci,all,f00_f03,95,20.355,20.238,20.472,1,95,,,,,,,,,
ci,all,f00_f03,96,20.488,20.37,20.606,1,96,,,,,,,,,
ci,all,f00_f03,97,20.569,20.451,20.688,1,97,,,,,,,,,
ci,all,f00_f03,98,20.617,20.499,20.736,1,98,,,,,,,,,
ci,all,f00_f03,99,20.652,20.533,20.771,1,99,,,,,,,,,
ci,all,f00_f03,100,20.665,20.546,20.784,1,100,,,,,,,,,
ci,all,f04_f09,35,0.102,0.095,0.11,2,35,,,,,,,,,
ci,all,f04_f09,36,0.114,0.107,0.122,2,36,,,,,,,,,
ci,all,f04_f09,37,0.127,0.119,0.135,2,37,,,,,,,,,
ci,all,f04_f09,38,0.141,0.133,0.15,2,38,,,,,,,,,
ci,all,f04_f09,39,0.155,0.146,0.164,2,39,,,,,,,,,
ci,all,f04_f09,40,0.169,0.161,0.179,2,40,,,,,,,,,
ci,all,f04_f09,41,0.184,0.175,0.194,2,41,,,,,,,,,
ci,all,f04_f09,42,0.199,0.189,0.209,2,42,,,,,,,,,
ci,all,f04_f09,43,0.215,0.205,0.225,2,43,,,,,,,,,
ci,all,f04_f09,44,0.233,0.222,0.244,2,44,,,,,,,,,
ci,all,f04_f09,45,0.253,0.242,0.264,2,45,,,,,,,,,
ci,all,f04_f09,46,0.272,0.261,0.284,2,46,,,,,,,,,
ci,all,f04_f09,47,0.292,0.281,0.305,2,47,,,,,,,,,
ci,all,f04_f09,48,0.315,0.303,0.328,2,48,,,,,,,,,
ci,all,f04_f09,49,0.34,0.327,0.353,2,49,,,,,,,,,
ci,all,f04_f09,50,0.366,0.353,0.38,2,50,,,,,,,,,
ci,all,f04_f09,51,0.393,0.38,0.407,2,51,,,,,,,,,
ci,all,f04_f09,52,0.424,0.41,0.438,2,52,,,,,,,,,
ci,all,f04_f09,53,0.456,0.442,0.471,2,53,,,,,,,,,
ci,all,f04_f09,54,0.488,0.473,0.503,2,54,,,,,,,,,
ci,all,f04_f09,55,0.522,0.507,0.538,2,55,,,,,,,,,
ci,all,f04_f09,56,0.562,0.547,0.579,2,56,,,,,,,,,
ci,all,f04_f09,57,0.603,0.587,0.62,2,57,,,,,,,,,
ci,all,f04_f09,58,0.648,0.631,0.666,2,58,,,,,,,,,
ci,all,f04_f09,59,0.689,0.672,0.707,2,59,,,,,,,,,
ci,all,f04_f09,60,0.736,0.718,0.755,2,60,,,,,,,,,
ci,all,f04_f09,61,0.787,0.768,0.806,2,61,,,,,,,,,
ci,all,f04_f09,62,0.844,0.825,0.864,2,62,,,,,,,,,
ci,all,f04_f09,63,0.891,0.871,0.911,2,63,,,,,,,,,
ci,all,f04_f09,64,0.945,0.925,0.966,2,64,,,,,,,,,
ci,all,f04_f09,65,1.004,0.983,1.025,2,65,,,,,,,,,
ci,all,f04_f09,66,1.075,1.053,1.097,2,66,,,,,,,,,
ci,all,f04_f09,67,1.156,1.133,1.179,2,67,,,,,,,,,
ci,all,f04_f09,68,1.24,1.216,1.264,2,68,,,,,,,,,
ci,all,f04_f09,69,1.332,1.307,1.357,2,69,,,,,,,,,
ci,all,f04_f09,70,1.444,1.419,1.471,2,70,,,,,,,,,
ci,all,f04_f09,71,1.569,1.542,1.597,2,71,,,,,,,,,
ci,all,f04_f09,72,1.714,1.686,1.743,2,72,,,,,,,,,
ci,all,f04_f09,73,1.876,1.846,1.906,2,73,,,,,,,,,
ci,all,f04_f09,74,2.049,2.018,2.081,2,74,,,,,,,,,
